@RELATION stuff

@ATTRIBUTE date string
@ATTRIBUTE airtemp numeric
@ATTRIBUTE windspeed numeric
@ATTRIBUTE windgust numeric
@ATTRIBUTE winddir numeric
@ATTRIBUTE precipitation numeric
@ATTRIBUTE visibility numeric
@ATTRIBUTE storm_status {S,R,T,N}
@ATTRIBUTE coach {H,R,M,A,C}
@ATTRIBUTE practice_status {OTW, CT}

@DATA
4/27/2017,7.8,9.1,12.2,235,0.18,8,N,C,OTW
5/1/2017,10.3,12.7,14.1,213,0.16,8,R,C,OTW
5/2/2017,9.4,10.1,11.4,276,0.05,10,N,C,OTW
5/3/2017,8.5,4.9,5.4,010,0.00,10,N,C,OTW
5/4/2017,7.8,7.2,8.0,030,0.00,10,N,C,OTW
5/8/2017,5.6,4.9,5.4,067,0.04,10,N,C,OTW
5/9/2017,7.6,3.9,4.2,049,0.26,9,N,C,OTW
5/10/2017,9.3,5.0,5.3,097,0.90,7,R,C,OTW
5/11/2017,9.4,4.1,4.5,347,0.0,9,N,C,OTW
5/15/2017,15.6,8.1,8.3,086,0.06,10,N,C,OTW
5/16/2017,28.2,16.0,17.7,200,0.00,10,N,C,OTW
5/17/2017,26.5,16.8,18.3,194,0.45,9,N,C,CT
5/18/2017,23.2,8.0,10.1,266,0.00,10,N,C,OTW
5/22/2017,20.7,7.9,11.0,224,0.00,10,N,C,OTW
5/23/2017,13.4,5.8,5.9,116,0.25,9,R,C,OTW
5/25/2017,11.8,4.2,4.7,332,0.00,10,N,C,OTW
9/25/2017,26.3,8.4,8.7,107,0.00,10,N,H,OTW
9/26/2017,30.8,6.3,7.7,212,0.0,10,N,H,OTW
10/2/2017,24.3,7.9,9.4,161,0.00,10,N,H,OTW
10/3/2017,23.6,9.8,10.8,197,0.00,10,N,H,CT
10/4/2017,19.0,4.1,4.4,120,0.01,9,N,H,OTW
10/5/2017,18.6,3.9,4.2,057,0.10,10,N,H,OTW
10/9/2017,21.1,6.6,6.8,108,0.00,10,R,H,OTW
10/10/2017,16.9,8.4,9.3,024,0.76,9,R,H,CT
10/11/2017,14.8,10.6,12.1,057,1.28,6,N,H,CT
10/12/2017,14.8,3.8,4.3,135,0.0,8,N,H,OTW
10/16/2017,16.0,6.4,7.3,270,0.00,10,N,H,OTW
10/17/2017,20.4,12.1,14.4,219,0.00,10,N,H,OTW
10/18/2017,20.2,12.9,13.8,198,0.00,10,N,H,OTW
10/19/2017,15.9,3.2,3.4,103,0.00,10,N,H,OTW
10/23/2017,12.1,6.2,7.9,308,0.54,9,N,H,OTW
10/25/2017,10.9,0.8,1.3,050,0.00,10,N,H,OTW
10/26/2017,14.2,9.1,10.3,149,0.00,10,N,H,OTW
10/30/2017,8.4,14.0,15.7,274,0.00,10,N,H,CT
10/31/2017,3.9,4.7,6.0,238,0.00,10,N,H,OTW
11/1/2017,6.5,9.3,10.6,185,0.28,8,R,H,OTW
11/2/2017,9.6,3.3,3.6,013,0.01,6,R,H,OTW
11/7/2017,6.8,9.2,10.3,003,0.00,10,N,H,OTW
11/8/2017,7.4,2.4,3.0,262,0.00,10,N,H,OTW
11/9/2017,4.9,8.9,9.7,308,0.00,10,N,H,OTW
4/5/2018,4.1,5.7,6.4,192,0.06,8,N,H,OTW
4/9/2018,1.1,6.5,7.3,002,0.12,4,S,H,OTW
4/10/2018,3.4,4.8,5.0,106,0.0,10,N,H,OTW
4/11/2018,7.1,7.5,8.0,079,0.06,9,N,H,OTW
4/12/2018,7.6,9.5,10.2,050,0.04,9,N,H,OTW
4/16/2018,0.8,10.9,12.3,301,0.01,7,S,H,CT
4/17/2018,1.4,5.2,5.6,044,0.00,10,N,H,OTW
4/18/2018,1.5,9.0,9.9,023,0.08,6,R,H,OTW
4/19/2018,4.6,7.2,7.7,009,0.08,9,N,H,OTW
4/23/2018,5.8,7.6,8.1,345,0.00,10,N,H,OTW
4/24/2018,5.5,5.0,5.3,003,0.00,10,N,H,OTW
4/25/2018,4.0,5.6,6.0,010,0.00,10,N,H,OTW
4/26/2018,10.7,6.3,6.4,105,0.00,10,N,H,OTW
4/30/2018,20.8,7.0,8.2,183,0.00,10,N,H,OTW
5/1/2018,25.4,11.8,13.4,206,0.00,10,N,H,OTW
5/2/2018,27.2,5.8,8.3,224,2.04,7,T,H,CT
5/3/2018,7.1,0.9,1.1,126,0.62,6,T,M,CT
5/7/2018,12.3,4.7,5.0,112,0.00,10,N,M,OTW
5/8/2018,22.8,7.3,7.3,123,0.00,10,N,M,OTW
